User ID,Name,Phone Number,Join Date,Points
1,Tirtha Bishta,9818565684,2025-02-02,155
2,Chahana Newa,9854379355,2025-01-10,115
3,Govinda Saha,9889643143,2024-12-02,90
4,Shuvam Chettri,9811485097,2025-01-06,160
5,Anugraha Shakya,9833690258,2025-02-10,135
6,Akashdeep Silwal,9815456350,2025-03-20,245
7,Rojina Wagle,9845463891,2024-12-27,195
8,Diwash Gharti,9899407091,2025-04-02,50
9,Nicha Magar,9816320061,2025-03-15,165
10,Yubaraj Sapkota,9844889107,2024-12-11,215
11,Ekisha Adhikari,9845277731,2025-02-04,225
12,Sabina Mukhia,9807903045,2024-12-11,240
13,Omprakash Budhathoki,9811526180,2025-02-22,210
14,Ojaswi Joshi,9845444538,2025-03-25,180
15,Bhargavi Shahi,9886017361,2024-12-19,75
16,Navin Ale,9865553454,2025-03-17,105
17,Renuka Dhami,9834539161,2025-01-24,145
18,Yagya Jamarkattel,9890443333,2025-02-12,220
19,Vishal Saha,9898806093,2025-03-28,45
20,Neharika Basnet,9865820736,2025-03-19,185
21,Padma Chettry,9895380852,2024-12-22,175
22,Achala Bahadur,9806244490,2025-03-18,190
23,Bikalpa Maskey,9801907659,2025-04-04,145
24,Bhumika Chettry,9806875254,2025-01-02,0
25,Jivan Ale,9872269281,2025-03-08,250
26,Asmita Malla,9877262943,2025-03-25,155
27,Prithivi Basyal,9896116844,2025-01-14,135
28,Govinda Mukhia,9835440286,2025-03-25,15
29,Ishwari Chettri,9821039360,2025-04-01,40
30,Yagya Joshi,9821332709,2025-03-12,60
31,Aditi Saha,9878075354,2024-12-13,120
32,Samyak Mainali,9862924005,2024-12-03,0
33,Rupesh KC,9861429662,2025-02-17,70
34,Garima Joshi,9800492628,2024-12-18,135
35,Prithivi Dahal,9853489945,2025-03-21,240
36,Fuchche Koirala,9866221779,2025-03-03,40
37,Bibhuti Tiwari,9815925517,2024-12-25,70
38,Ansika Kharel,9864330239,2025-01-29,205
39,Chakra Roka,9890272575,2025-02-15,100
41,Bikalpa Silwal,9883196115,2025-03-19,180
42,Barsha Poudel,9861352307,2025-03-14,185
43,Jasoda Poudel,9811363222,2024-12-28,130
44,Atit Wagle,9847749432,2025-03-10,15
45,Ekta Poudel,9832420357,2025-02-21,185
46,Gajendra Gharti,9868716158,2025-02-12,55
47,Kabita Gharti,9876963866,2025-03-30,125
48,Rebika Kunwar,9872335884,2024-12-22,220
49,Ekisha Tiwari,9839240637,2025-03-27,215
50,Anugraha Acharya,9880725085,2025-03-02,150
51,Deepti Shrestha,9885465931,2025-04-01,55
52,Bipin Lohani,9810474676,2025-03-27,15
53,Manjari Darji,9898438804,2024-12-06,10
54,Dhruba Kami,9842778586,2025-03-21,195
55,Abinash Kafle,9858110151,2024-12-19,125
56,Kapil Saha,9886730773,2025-03-18,120
57,Hema Gautam,9893470966,2025-01-04,60
58,Yagya Sharma,9897585063,2024-12-28,240
59,Preksha Gurung,9805899983,2025-01-13,70
60,Bhargavi Jamarkattel,9883998380,2025-02-01,230
61,Rojina Bhandari,9879366936,2025-02-10,190
62,Anupam Siwakoti,9810623589,2025-02-23,140
63,Navin Kafle,9831334833,2024-12-21,165
64,Nabaraj Giri,9890410209,2025-03-05,240
65,Pasang Dangol,9875836425,2025-03-16,160
66,Aditi Bishta,9858086286,2024-12-29,180
67,Kalpana Panta,9819354488,2025-03-30,45
68,Mamata Panta,9876333784,2025-03-25,245
69,Sachit Timsina,9808662292,2025-01-08,220
70,Mamata Uprety,9870947154,2025-04-01,160
71,Garima Karki,9830761639,2025-02-18,25
72,Omprakash Gaire,9855791449,2025-03-19,5
73,Sabina Jaisi,9867733369,2025-03-06,160
74,Kalpana Dhami,9877375353,2025-01-18,115
75,Suyog Khanal,9846863801,2025-04-20,10
